test_name
% Phosphatidylglycerol
"17-Hydroxycorticosteroids, Urine"
17-Hydroxypregnenolone
17-Hydroxyprogesterone
"17-Ketosteroids, Urine"
17-OH Progesterone
2 hour Postprandial Glucose
21-Hydroxylase Antibody
24 hour Calcium Urine
24 hour Chloride Urine
24 hour Creatinine Clearance
24 Hour Creatinine Urine
24 Hour Magnesium Urine
24 hour Microalbumin Urine
24 Hour Phosphorus Urine
24 hour Sodium Urine
24 hour Urea Nitrogen Urine
24 hour Uric Acid Urine
"24 Hour, Urine Albumin"
24-hour Potassium Urine
24-hour Protein Electrophoresis Urine
24-hour Protein Urine
"24-hour Protein, OB/Gyn Urine"
3-Hydroxy-3-Methylglutaryl-Coenzyme A Reductase (HMGCR) Antibody (IgG)
"5-Aminolevulinic Acid (ALA), Urine"
"5-Hydroxyindoleacetic Acid (5-HIAA), Random Urine with Creatinine"
5-Hydroxytryptamine
5-Nucleotidase
A1c
ABO group and Rh type
"ABO group, Rh type and Antibody Screen"
"ABO group, Rh type and Crossmatch (compatibility testing), Newborn"
"ABO group, Rh type and Crossmatch (compatibility XM testing)"
"ABO group, Rh type, Direct Antiglobulin Test (Newborn)"
"ABO group, Rh type, Newborn"
ABO/Rh
Absolute Neutrophil Count
ACE
Acetaminophen
Acetylcholine Receptor Binding Antibody
Acetylcholine Receptor Blocking Antibody
Acetylcholine Receptor Modulating Antibody
"Acid Phosphatase, Prostatic"
ACTH
Actin (Smooth Muscle) Antibody (IgG)
Activated Partial Thrombin Time (APTT) Mixing Studies
Activated Partial Thromboplastin Time (APTT)
Activated Protein C Resistance
"Acylcarnitine, Plasma"
ADAMTS13 Activity with Reflex to Inhibitor
"Adenosine Deaminase, CSF"
"Adenosine Deaminase, Peritoneal Fluid"
"Adenosine Deaminase, Pleural Fluid"
"Adenovirus, Quantitative PCR"
Adrenaline
Adrenocorticotropic Hormone
AFB Culture and Smear
AFB Smear
Affirm Test
AFP (Tumor Marker)
"ALA, Urine"
Albumin
"Albumin, 24 Hour Urine"
"Albumin, Fluid"
"Albumin, Glycated"
"Albumin, Random Urine"
"Albumin/Creatinine Ratio, Urine"
Albumin/Globulin Ratio
Aldolase
"Aldosterone, 24-Hour Urine"
"Aldosterone, LC/MS/MS"
Alkaline Phosphatase
Alkaline Phosphatase Fractionated
Alkaline phosphatase isoenzymes
"Alkaline Phosphatase, Bone Specific"
"Allergen Panel, Food"
"Allergen Panel, Pediatric"
"Allergen Panel, Regional"
"Allergen,  Helminthosproium halodes IgE"
"Allergen, A. tenuis"
"Allergen, Acremonium kiliense (C. acremonium) (m202) IgE"
"Allergen, Alder IgE"
"Allergen, Almond IgE"
"Allergen, Alpha-Lactalbumin IgE"
"Allergen, Alternaria tenuis IgE"
"Allergen, American Cockroach IgE"
"Allergen, Amoxicillin IgE"
"Allergen, Apple IgE"
"Allergen, Aspergillus fumigatus IgE"
"Allergen, Aspergillus niger IgE"
"Allergen, Avocado IgE"
"Allergen, Bahia Grass IgE"
"Allergen, Banana IgE"
"Allergen, Barley IgE"
"Allergen, Beech IgE"
"Allergen, Beef IgE"
"Allergen, Bermuda Grass IgE"
"Allergen, Beta-Lactoglobulin IgE"
"Allergen, Birch IgE"
"Allergen, Black Bean IgE"
"Allergen, Black Pepper IgE"
"Allergen, Blue Mussel IgE"
"Allergen, Blueberry IgE"
"Allergen, Botrytis cinerea IgE"
"Allergen, Brazil Nut IgE"
"Allergen, Brewer Yeast IgE"
"Allergen, Broccoli IgE"
"Allergen, Buckwheat IgE"
"Allergen, C. herbarum"
"Allergen, Candida albicans IgE"
"Allergen, Careless Weed (Amaranthus palmeri) IgE"
"Allergen, Carrot IgE"
"Allergen, Casein IgE"
"Allergen, Cashew IgE"
"Allergen, Cashew Nut Component"
"Allergen, Cat Dander-Epithelium IgE"
"Allergen, Celery IgE"
"Allergen, Cheddar Cheese IgE"
"Allergen, Cheese Mold Type IgE"
"Allergen, Cherry IgE"
"Allergen, Chestnut IgE"
"Allergen, Chick Pea IgE"
"Allergen, Chicken Meat IgE"
"Allergen, Chili Pepper IgE"
"Allergen, Cinnamon IgE"
"Allergen, Cladosporium herbarum (HORMODENDRUM) IgE"
"Allergen, Clam IgE"
